,bio5
Bonn2,24.3479995727539
Bonn3,24.3479995727539
Bonn6,24.3479995727539
Cam1,22.492000579834
Cam2,22.492000579834
Canada1,20.8479995727539
Croatia,27.2040004730225
Czech1,23.3279991149902
Denmark1,19.8666667938232
Ehrenhausen3,25.1319999694824
Ehrenhausen6,25.1319999694824
France1,25.4839992523193
Germany1,19.1319999694824
Grafenegg1,25.5880012512207
Grafenegg2,25.5880012512207
Ireland1,17.5319995880127
Ireland10,17.5319995880127
Ireland12,17.5319995880127
Ireland13,17.5319995880127
Ireland18,17.5319995880127
Ireland19,17.5319995880127
Ireland2,17.5319995880127
Ireland21,18.3519992828369
Ireland22,18.3519992828369
Ireland3,17.568000793457
Ireland36,17.5319995880127
Ireland37,20.5520000457764
Ireland38,20.5520000457764
Ireland5,17.568000793457
Ireland6,17.568000793457
Ireland7,17.5319995880127
Japan1,27.3600006103516
Japan10,28.0480003356934
Japan12,27.7919998168945
Japan13,36.8199996948242
Japan16,27.3600006103516
Japan17,27.0
Japan18,27.7919998168945
Japan19,30.996000289917
Japan2,27.3600006103516
Japan20,30.996000289917
Japan21,27.0
Japan22,29.9882354736328
Japan26,27.7919998168945
Japan27,27.7919998168945
Japan28,36.8199996948242
Japan29,30.5695648193359
Japan30,27.7919998168945
Japan4,30.2399997711182
Japan5,30.2399997711182
Japan6,26.5279998779297
Japan7,26.5279998779297
Japan9,30.4120006561279
MaG1,25.5839996337891
MiBa1,26.07200050354
MiBa2,26.07200050354
Norwich1,21.6959991455078
Norwich2,21.6959991455078
Norwich4,21.6959991455078
Oxford12,22.064001083374
Oxford15,22.064001083374
Oxford4,22.064001083374
Oxford6,22.064001083374
Schubert13,25.5839996337891
Schubert2,25.5839996337891
Schubert4,25.5839996337891
Schubert5,25.5839996337891
Schubert6,25.5839996337891
Schubert8,25.5839996337891
Schubert9,25.5839996337891
Sopron1,25.5639991760254
Tak1F7,31.3199996948242
Tak2F7,31.3199996948242
US1,27.5440006256104
Zurich14,24.4519996643066
Zurich6,24.4519996643066
Zurich9,24.4519996643066
bgld1,24.9839992523193
