,bio3
Bonn2,34.7156867980957
Bonn3,34.7156867980957
Bonn6,34.7156867980957
Cam1,38.2935028076172
Cam2,38.2935028076172
Canada1,33.2789535522461
Croatia,33.285343170166
Czech1,31.5052471160889
Denmark1,27.8256244659424
Ehrenhausen3,32.915454864502
Ehrenhausen6,32.915454864502
France1,43.2759971618652
Germany1,31.4630222320557
Grafenegg1,32.5569343566895
Grafenegg2,32.5569343566895
Ireland1,38.0669708251953
Ireland10,38.0669708251953
Ireland12,38.0669708251953
Ireland13,38.0669708251953
Ireland18,38.0669708251953
Ireland19,38.0669708251953
Ireland2,38.0669708251953
Ireland21,38.8200416564941
Ireland22,38.8200416564941
Ireland3,37.006763458252
Ireland36,38.0669708251953
Ireland37,41.358024597168
Ireland38,41.358024597168
Ireland5,37.006763458252
Ireland6,37.006763458252
Ireland7,38.0669708251953
Japan1,26.8450775146484
Japan10,26.6455879211426
Japan12,30.0453586578369
Japan13,36.6938934326172
Japan16,26.8450775146484
Japan17,27.4796333312988
Japan18,30.0453586578369
Japan19,29.0549831390381
Japan2,26.8450775146484
Japan20,29.0549831390381
Japan21,27.4796333312988
Japan22,27.7212600708008
Japan26,30.0453586578369
Japan27,30.0453586578369
Japan28,36.6938934326172
Japan29,29.3126831054688
Japan30,30.0453586578369
Japan4,27.1535949707031
Japan5,27.1535949707031
Japan6,29.4439964294434
Japan7,29.4439964294434
Japan9,29.3445205688477
MaG1,29.2373275756836
MiBa1,29.9492206573486
MiBa2,29.9492206573486
Norwich1,37.048469543457
Norwich2,37.048469543457
Norwich4,37.048469543457
Oxford12,36.7452392578125
Oxford15,36.7452392578125
Oxford4,36.7452392578125
Oxford6,36.7452392578125
Schubert13,29.2373275756836
Schubert2,29.2373275756836
Schubert4,29.2373275756836
Schubert5,29.2373275756836
Schubert6,29.2373275756836
Schubert8,29.2373275756836
Schubert9,29.2373275756836
Sopron1,31.6916790008545
Tak1F7,27.8061771392822
Tak2F7,27.8061771392822
US1,29.7894992828369
Zurich14,32.0639114379883
Zurich6,32.0639114379883
Zurich9,32.0639114379883
bgld1,32.8055534362793
