,bio9
Bonn2,6.30533313751221
Bonn3,6.30533313751221
Bonn6,6.30533313751221
Cam1,6.39400005340576
Cam2,6.39400005340576
Canada1,13.1539993286133
Croatia,3.47333335876465
Czech1,0.455999970436096
Denmark1,2.73981475830078
Ehrenhausen3,-0.380666643381119
Ehrenhausen6,-0.380666643381119
France1,17.8020000457764
Germany1,0.975333273410797
Grafenegg1,0.265333384275436
Grafenegg2,0.265333384275436
Ireland1,10.3013334274292
Ireland10,10.3013334274292
Ireland12,10.3013334274292
Ireland13,10.3013334274292
Ireland18,10.3013334274292
Ireland19,10.3013334274292
Ireland2,10.3013334274292
Ireland21,10.275333404541
Ireland22,10.275333404541
Ireland3,10.3746662139893
Ireland36,10.3013334274292
Ireland37,8.89133358001709
Ireland38,8.89133358001709
Ireland5,10.3746662139893
Ireland6,10.3746662139893
Ireland7,10.3013334274292
Japan1,-2.57399988174438
Japan10,-1.1546665430069
Japan12,-0.78466659784317
Japan13,28.2766666412354
Japan16,-2.57399988174438
Japan17,-2.19333338737488
Japan18,-0.78466659784317
Japan19,5.09666681289673
Japan2,-2.57399988174438
Japan20,5.09666681289673
Japan21,-2.19333338737488
Japan22,6.44705867767334
Japan26,-0.78466659784317
Japan27,-0.78466659784317
Japan28,28.2766666412354
Japan29,8.70217418670654
Japan30,-0.78466659784317
Japan4,4.96933317184448
Japan5,4.96933317184448
Japan6,-1.96000003814697
Japan7,-1.96000003814697
Japan9,4.15133333206177
MaG1,1.05933332443237
MiBa1,1.81666672229767
MiBa2,1.81666672229767
Norwich1,6.24266672134399
Norwich2,6.24266672134399
Norwich4,6.24266672134399
Oxford12,6.53333330154419
Oxford15,6.53333330154419
Oxford4,6.53333330154419
Oxford6,6.53333330154419
Schubert13,1.05933332443237
Schubert2,1.05933332443237
Schubert4,1.05933332443237
Schubert5,1.05933332443237
Schubert6,1.05933332443237
Schubert8,1.05933332443237
Schubert9,1.05933332443237
Sopron1,0.678666710853577
Tak1F7,7.02733325958252
Tak2F7,7.02733325958252
US1,-2.42266654968262
Zurich14,2.68133330345154
Zurich6,2.68133330345154
Zurich9,2.68133330345154
bgld1,-0.0799999237060547
