PopulationCode,bio19
Bonn2,153
Bonn3,153
Bonn6,153
Cam1,129
Cam2,129
Canada1,469
Croatia,200
Czech1,110
Denmark1,121
Ehrenhausen3,132
Ehrenhausen6,132
France1,376
Germany1,281
Grafenegg1,65
Grafenegg2,65
Ireland1,475
Ireland10,475
Ireland12,475
Ireland13,475
Ireland18,475
Ireland19,475
Ireland2,475
Ireland21,351
Ireland22,351
Ireland3,495
Ireland36,475
Ireland37,189
Ireland38,189
Ireland5,495
Ireland6,495
Ireland7,475
Japan1,230
Japan10,279
Japan12,103
Japan13,329
Japan16,230
Japan17,187
Japan18,103
Japan19,143
Japan2,230
Japan20,143
Japan21,187
Japan22,196
Japan26,103
Japan27,103
Japan28,329
Japan29,236
Japan30,103
Japan4,208
Japan5,208
Japan6,114
Japan7,114
Japan9,153
MaG1,101
MiBa1,97
MiBa2,97
Norwich1,153
Norwich2,153
Norwich4,153
Oxford12,161
Oxford15,161
Oxford4,161
Oxford6,161
Schubert13,101
Schubert2,101
Schubert4,101
Schubert5,101
Schubert6,101
Schubert8,101
Schubert9,101
Sopron1,93
Tak1F7,216
Tak2F7,216
US1,170
Zurich14,221
Zurich6,221
Zurich9,221
bgld1,103
