PopulationCode,bio17
Bonn2,147
Bonn3,147
Bonn6,147
Cam1,118
Cam2,118
Canada1,165
Croatia,191
Czech1,110
Denmark1,106
Ehrenhausen3,132
Ehrenhausen6,132
France1,207
Germany1,222
Grafenegg1,65
Grafenegg2,65
Ireland1,279
Ireland10,279
Ireland12,279
Ireland13,279
Ireland18,279
Ireland19,279
Ireland2,279
Ireland21,223
Ireland22,223
Ireland3,281
Ireland36,279
Ireland37,152
Ireland38,152
Ireland5,281
Ireland6,281
Ireland7,279
Japan1,230
Japan10,279
Japan12,103
Japan13,329
Japan16,230
Japan17,187
Japan18,103
Japan19,143
Japan2,230
Japan20,143
Japan21,187
Japan22,196
Japan26,103
Japan27,103
Japan28,329
Japan29,236
Japan30,103
Japan4,208
Japan5,208
Japan6,114
Japan7,114
Japan9,153
MaG1,101
MiBa1,96
MiBa2,96
Norwich1,128
Norwich2,128
Norwich4,128
Oxford12,137
Oxford15,137
Oxford4,137
Oxford6,137
Schubert13,101
Schubert2,101
Schubert4,101
Schubert5,101
Schubert6,101
Schubert8,101
Schubert9,101
Sopron1,93
Tak1F7,216
Tak2F7,216
US1,168
Zurich14,208
Zurich6,208
Zurich9,208
bgld1,103
