PopulationCode,bio1
Bonn2,10.4840002059937
Bonn3,10.4840002059937
Bonn6,10.4840002059937
Cam1,10.154333114624
Cam2,10.154333114624
Canada1,4.92316675186157
Croatia,11.1494998931885
Czech1,8.0605001449585
Denmark1,7.91087961196899
Ehrenhausen3,9.37116622924805
Ehrenhausen6,9.37116622924805
France1,13.7781667709351
Germany1,5.62266683578491
Grafenegg1,9.5629997253418
Grafenegg2,9.5629997253418
Ireland1,9.41183376312256
Ireland10,9.41183376312256
Ireland12,9.41183376312256
Ireland13,9.41183376312256
Ireland18,9.41183376312256
Ireland19,9.41183376312256
Ireland2,9.41183376312256
Ireland21,9.16116714477539
Ireland22,9.16116714477539
Ireland3,9.34066677093506
Ireland36,9.41183376312256
Ireland37,10.0270004272461
Ireland38,10.0270004272461
Ireland5,9.34066677093506
Ireland6,9.34066677093506
Ireland7,9.41183376312256
Japan1,9.22283363342285
Japan10,10.3435001373291
Japan12,10.1901664733887
Japan13,12.4263334274292
Japan16,9.22283363342285
Japan17,9.22150039672852
Japan18,10.1901664733887
Japan19,14.9993333816528
Japan2,9.22283363342285
Japan20,14.9993333816528
Japan21,9.22150039672852
Japan22,15.4867649078369
Japan26,10.1901664733887
Japan27,10.1901664733887
Japan28,12.4263334274292
Japan29,17.5300731658936
Japan30,10.1901664733887
Japan4,14.7628335952759
Japan5,14.7628335952759
Japan6,9.00683307647705
Japan7,9.00683307647705
Japan9,14.117166519165
MaG1,10.2651662826538
MiBa1,9.91049957275391
MiBa2,9.91049957275391
Norwich1,9.7504997253418
Norwich2,9.7504997253418
Norwich4,9.7504997253418
Oxford12,10.2071666717529
Oxford15,10.2071666717529
Oxford4,10.2071666717529
Oxford6,10.2071666717529
Schubert13,10.2651662826538
Schubert2,10.2651662826538
Schubert4,10.2651662826538
Schubert5,10.2651662826538
Schubert6,10.2651662826538
Schubert8,10.2651662826538
Schubert9,10.2651662826538
Sopron1,10.168833732605
Tak1F7,14.7396669387817
Tak2F7,14.7396669387817
US1,8.63399982452393
Zurich14,9.49633312225342
Zurich6,9.49633312225342
Zurich9,9.49633312225342
bgld1,9.35200023651123
