PopulationCode,bio14
Bonn2,43
Bonn3,43
Bonn6,43
Cam1,33
Cam2,33
Canada1,51
Croatia,58
Czech1,33
Denmark1,33
Ehrenhausen3,34
Ehrenhausen6,34
France1,56
Germany1,66
Grafenegg1,18
Grafenegg2,18
Ireland1,91
Ireland10,91
Ireland12,91
Ireland13,91
Ireland18,91
Ireland19,91
Ireland2,91
Ireland21,71
Ireland22,71
Ireland3,89
Ireland36,91
Ireland37,50
Ireland38,50
Ireland5,89
Ireland6,89
Ireland7,91
Japan1,74
Japan10,89
Japan12,25
Japan13,105
Japan16,74
Japan17,57
Japan18,25
Japan19,38
Japan2,74
Japan20,38
Japan21,57
Japan22,56
Japan26,25
Japan27,25
Japan28,105
Japan29,61
Japan30,25
Japan4,54
Japan5,54
Japan6,30
Japan7,30
Japan9,41
MaG1,30
MiBa1,30
MiBa2,30
Norwich1,39
Norwich2,39
Norwich4,39
Oxford12,40
Oxford15,40
Oxford4,40
Oxford6,40
Schubert13,30
Schubert2,30
Schubert4,30
Schubert5,30
Schubert6,30
Schubert8,30
Schubert9,30
Sopron1,27
Tak1F7,60
Tak2F7,60
US1,52
Zurich14,65
Zurich6,65
Zurich9,65
bgld1,30
