PopulationCode,bio18
Bonn2,215
Bonn3,215
Bonn6,215
Cam1,144
Cam2,144
Canada1,165
Croatia,298
Czech1,241
Denmark1,174
Ehrenhausen3,364
Ehrenhausen6,364
France1,276
Germany1,340
Grafenegg1,217
Grafenegg2,217
Ireland1,375
Ireland10,375
Ireland12,375
Ireland13,375
Ireland18,375
Ireland19,375
Ireland2,375
Ireland21,256
Ireland22,256
Ireland3,345
Ireland36,375
Ireland37,174
Ireland38,174
Ireland5,345
Ireland6,345
Ireland7,375
Japan1,493
Japan10,680
Japan12,462
Japan13,952
Japan16,493
Japan17,500
Japan18,462
Japan19,519
Japan2,493
Japan20,519
Japan21,500
Japan22,552
Japan26,462
Japan27,462
Japan28,952
Japan29,880
Japan30,462
Japan4,704
Japan5,704
Japan6,518
Japan7,518
Japan9,608
MaG1,198
MiBa1,216
MiBa2,216
Norwich1,158
Norwich2,158
Norwich4,158
Oxford12,149
Oxford15,149
Oxford4,149
Oxford6,149
Schubert13,198
Schubert2,198
Schubert4,198
Schubert5,198
Schubert6,198
Schubert8,198
Schubert9,198
Sopron1,218
Tak1F7,575
Tak2F7,575
US1,272
Zurich14,373
Zurich6,373
Zurich9,373
bgld1,272
