PopulationCode,bio16
Bonn2,222
Bonn3,222
Bonn6,222
Cam1,158
Cam2,158
Canada1,554
Croatia,309
Czech1,241
Denmark1,194
Ehrenhausen3,364
Ehrenhausen6,364
France1,408
Germany1,340
Grafenegg1,217
Grafenegg2,217
Ireland1,528
Ireland10,528
Ireland12,528
Ireland13,528
Ireland18,528
Ireland19,528
Ireland2,528
Ireland21,382
Ireland22,382
Ireland3,545
Ireland36,528
Ireland37,208
Ireland38,208
Ireland5,545
Ireland6,545
Ireland7,528
Japan1,493
Japan10,680
Japan12,462
Japan13,952
Japan16,493
Japan17,500
Japan18,462
Japan19,571
Japan2,493
Japan20,571
Japan21,500
Japan22,590
Japan26,462
Japan27,462
Japan28,952
Japan29,1001
Japan30,462
Japan4,765
Japan5,765
Japan6,518
Japan7,518
Japan9,629
MaG1,202
MiBa1,216
MiBa2,216
Norwich1,184
Norwich2,184
Norwich4,184
Oxford12,178
Oxford15,178
Oxford4,178
Oxford6,178
Schubert13,202
Schubert2,202
Schubert4,202
Schubert5,202
Schubert6,202
Schubert8,202
Schubert9,202
Sopron1,223
Tak1F7,609
Tak2F7,609
US1,272
Zurich14,373
Zurich6,373
Zurich9,373
bgld1,272
