PopulationCode,bio13
Bonn2,78
Bonn3,78
Bonn6,78
Cam1,54
Cam2,54
Canada1,203
Croatia,106
Czech1,87
Denmark1,65
Ehrenhausen3,123
Ehrenhausen6,123
France1,145
Germany1,128
Grafenegg1,80
Grafenegg2,80
Ireland1,178
Ireland10,178
Ireland12,178
Ireland13,178
Ireland18,178
Ireland19,178
Ireland2,178
Ireland21,128
Ireland22,128
Ireland3,185
Ireland36,178
Ireland37,71
Ireland38,71
Ireland5,185
Ireland6,185
Ireland7,178
Japan1,185
Japan10,246
Japan12,176
Japan13,337
Japan16,185
Japan17,189
Japan18,176
Japan19,234
Japan2,185
Japan20,234
Japan21,189
Japan22,224
Japan26,176
Japan27,176
Japan28,337
Japan29,412
Japan30,176
Japan4,300
Japan5,300
Japan6,193
Japan7,193
Japan9,243
MaG1,71
MiBa1,78
MiBa2,78
Norwich1,65
Norwich2,65
Norwich4,65
Oxford12,61
Oxford15,61
Oxford4,61
Oxford6,61
Schubert13,71
Schubert2,71
Schubert4,71
Schubert5,71
Schubert6,71
Schubert8,71
Schubert9,71
Sopron1,81
Tak1F7,234
Tak2F7,234
US1,97
Zurich14,131
Zurich6,131
Zurich9,131
bgld1,96
