PopulationCode,bio6
Bonn2,-0.296000003814697
Bonn3,-0.296000003814697
Bonn6,-0.296000003814697
Cam1,1.067999958992
Cam2,1.067999958992
Canada1,-6.73600006103516
Croatia,-2.66400003433228
Czech1,-4.88000011444092
Denmark1,-3.6777777671814
Ehrenhausen3,-5.09999990463257
Ehrenhausen6,-5.09999990463257
France1,3.50799989700317
Germany1,-5.7480001449585
Grafenegg1,-4.03599977493286
Grafenegg2,-4.03599977493286
Ireland1,2.53999996185303
Ireland10,2.53999996185303
Ireland12,2.53999996185303
Ireland13,2.53999996185303
Ireland18,2.53999996185303
Ireland19,2.53999996185303
Ireland2,2.53999996185303
Ireland21,2.05200004577637
Ireland22,2.05200004577637
Ireland3,2.39599990844727
Ireland36,2.53999996185303
Ireland37,2.08399987220764
Ireland38,2.08399987220764
Ireland5,2.39599990844727
Ireland6,2.39599990844727
Ireland7,2.53999996185303
Japan1,-8.17599964141846
Japan10,-6.42799997329712
Japan12,-7.33599996566772
Japan13,-2.75200009346008
Japan16,-8.17599964141846
Japan17,-7.69600009918213
Japan18,-7.33599996566772
Japan19,-0.0439999960362911
Japan2,-8.17599964141846
Japan20,-0.0439999960362911
Japan21,-7.69600009918213
Japan22,1.07647061347961
Japan26,-7.33599996566772
Japan27,-7.33599996566772
Japan28,-2.75200009346008
Japan29,2.7782609462738
Japan30,-7.33599996566772
Japan4,0.351999998092651
Japan5,0.351999998092651
Japan6,-8.20800018310547
Japan7,-8.20800018310547
Japan9,-1.16799998283386
MaG1,-2.48399996757507
MiBa1,-3.46799993515015
MiBa2,-3.46799993515015
Norwich1,1.00399994850159
Norwich2,1.00399994850159
Norwich4,1.00399994850159
Oxford12,1.61600005626678
Oxford15,1.61600005626678
Oxford4,1.61600005626678
Oxford6,1.61600005626678
Schubert13,-2.48399996757507
Schubert2,-2.48399996757507
Schubert4,-2.48399996757507
Schubert5,-2.48399996757507
Schubert6,-2.48399996757507
Schubert8,-2.48399996757507
Schubert9,-2.48399996757507
Sopron1,-3.60399985313416
Tak1F7,0.0200000014156103
Tak2F7,0.0200000014156103
US1,-9.38399982452393
Zurich14,-2.02799987792969
Zurich6,-2.02799987792969
Zurich9,-2.02799987792969
bgld1,-4.69999980926514
